section,rows,seats,capacity,secnam,type
UNKNOWN_0,"A,B,R",,0,GA,1
S116,RE,"16,1",2,S,0
71S,"AN,I",71S,2,GA,1
51,"A,B,CO","51,52",6,SEC,0
1,"AD,L,D,E,F,A,T","1,2E",14,SEC,0
EE,EE,,0,GA,1
9,,"9,8,5,1",4,SEC,0
76,,"76,19,7,18,252",5,SEC,0
503,,"503,627,28,29,30,31",6,SEC,0
152,"DG,AD,D,E,F,P,H,L,T","152,32,33,34,35,36",54,SEC,0
1,"J,BE,K,L,M,N,I,OO,E","1,28",18,SEC,0
S45,,"678,5,4D,3",4,S,0
9,,"9,1",2,SEC,0
7,,"7,18,19,20,21,22,23,24,25",9,SEC,0
627,A,"627,28,31,3,4D",5,SEC,0
32,"L,J,K,M,N,OO","32,33,34,35,36",30,SEC,0
1,"P,HA,EE,Q,BE,R,S,T,U",1,9,SEC,0
5,"SC,Z,OO","5,4",6,SEC,0
1,,"1,9,10,11,12,13,14,15,16,17",10,SEC,0
7,,"7,18,19,20,21,22,23,24,25,26",10,SEC,0
0,"AE,TC,O","0,2,30,51,3",15,SEC,0
QQ,"P,QQ,R,T,UJ",,0,GA,1
R2,"VV,OE,X,Y",,0,GA,1
9,,"9,10,11,12,13,14,15,16,17",9,SEC,0
18,,"18,19,20,21,22,23,24,25,26",9,SEC,0
27,,"27,28,29,30,31,3",6,SEC,0
2,"V,X,Y","2,33,34,35,36,37",18,SEC,0
8,R,8,1,SEC,0
2,"X,NN,LC,EO","2,1",8,SEC,0
1H,"R,H,LI,Y,T",1H,5,GA,1
BLAE,N,,0,GA,1
OCHR,"N,NN",,0,GA,1
03,"C,Q,TO",03,3,SEC,0
9,"E,O",9,2,SEC,0
TRE,"LI,A,T",,0,GA,1
FRON,"Y,CY",,0,GA,1
1,"CO,TN,T",1,3,SEC,0
1Z,,1Z,1,GA,1
6,A,6,1,SEC,0
UNKNOWN_39,R,,0,GA,1
UNKNOWN_40,V,,0,GA,1
3,"NN,VV,A,OS,E,OF,SE,AN","3,6,8,5,9,0",48,SEC,0
112,C,"112,13,14,15,16,17,18,19,2,20",10,SEC,0
0,"L,IR","0,21,22,23,24,25,26,27,28,29",20,SEC,0
5,"L,OF,IR","5,36",6,SEC,0
3,"FE,X,OL,B,V,I",3,6,SEC,0
7,"PX,IG,AN,CE,OD,ON,CY,FO,S,CA,AE,AS","7,790,5,9S,48,4",72,SEC,0
3,"O,Q,OC",3,3,SEC,0
UNKNOWN_48,A,,0,GA,1
C0,"VR,O,CQ,YO,F,S,DW",,0,GA,1
8,"LL,I,O,N,AS,EN,SO,V","8,11,12,85M,2,18,17,15,215,19,30,55",96,SEC,0
0,AL,"0,14,19,20,516,17,18,21,22,23,6,24,27,28,29,30,31",17,SEC,0
A5,IC,"2,28,29,30,24,25,26,27,31,32,5,33,50,34,35,36,37,38,39,52,40",21,A,0
27,AL,"27,39,40,45,46,47,48,43,44",9,SEC,0
4,"UO,BE,OT,A,IN,V,JE,SB,OF,PN,Q","4,07,2,52",44,SEC,0
5,"O,I,S,DS,N","5,4",10,SEC,0
